graphe_run,metrique,modele_vue2,longueur_predit,true_hits,nombre_noeud_touve,f1_score,mean,Truehits,Noeud_predit
24,cosinus,1,29,20,12,0.48980,0.46705,"{1: {96, 128, 609, 5, 7, 135, 391, 425, 171, 120, 15, 272, 303, 146, 307, 84, 55, 24, 217, 28}}","{7, 135, 525, 15, 146, 24, 425, 171, 814, 303, 431, 49, 181, 314, 571, 318, 575, 84, 215, 96, 609, 739, 108, 620, 748, 120, 249, 508, 639}"
25,cosinus,1,40,20,12,0.40000,0.46436,"{1: {384, 4, 36, 264, 169, 746, 300, 14, 494, 336, 591, 242, 19, 149, 501, 55, 120, 89, 90, 381}}","{384, 4, 645, 264, 653, 14, 16, 19, 147, 149, 28, 287, 800, 36, 300, 308, 693, 55, 59, 830, 320, 578, 325, 709, 838, 457, 74, 843, 334, 591, 975, 87, 90, 478, 486, 103, 745, 244, 501, 375}"
26,cosinus,1,35,20,15,0.54545,0.46748,"{1: {509, 993, 3, 101, 199, 313, 9, 10, 43, 74, 107, 14, 110, 522, 56, 217, 794, 124, 253, 511}}","{3, 9, 14, 912, 535, 281, 794, 30, 43, 811, 563, 56, 313, 953, 447, 69, 453, 199, 75, 972, 463, 210, 211, 978, 345, 217, 730, 993, 101, 110, 115, 124, 509, 766, 511}"
27,cosinus,1,50,20,12,0.34286,0.46287,"{1: {352, 257, 226, 99, 259, 322, 520, 554, 906, 236, 525, 844, 272, 284, 86, 695, 380, 602, 188, 61}}","{257, 259, 132, 7, 520, 394, 12, 13, 269, 525, 272, 146, 402, 284, 159, 31, 164, 167, 554, 43, 695, 58, 59, 188, 61, 444, 702, 68, 69, 202, 77, 78, 717, 212, 340, 342, 980, 728, 217, 349, 226, 99, 483, 102, 488, 492, 110, 375, 251, 255}"
28,cosinus,1,20,20,8,0.40000,0.46062,"{1: {0, 641, 354, 291, 4, 733, 170, 395, 300, 175, 16, 242, 179, 370, 948, 278, 536, 508, 157, 670}}","{0, 986, 2, 290, 4, 291, 526, 16, 272, 146, 242, 689, 213, 118, 278, 24, 857, 948, 60, 157}"
29,cosinus,1,33,20,12,0.45283,0.46035,"{1: {609, 194, 770, 165, 955, 39, 104, 361, 875, 653, 14, 15, 49, 884, 182, 152, 313, 986, 379, 285}}","{129, 641, 770, 7, 8, 522, 14, 15, 271, 146, 19, 152, 34, 165, 39, 426, 54, 313, 955, 194, 337, 338, 598, 223, 609, 485, 361, 748, 112, 113, 379, 245, 123}"
30,cosinus,1,34,20,12,0.44444,0.45982,"{1: {160, 865, 194, 35, 196, 546, 7, 455, 297, 42, 235, 491, 45, 519, 239, 558, 213, 55, 280, 154}}","{128, 897, 519, 398, 529, 531, 661, 281, 537, 669, 546, 35, 680, 41, 42, 45, 946, 437, 55, 61, 194, 834, 196, 455, 333, 592, 337, 465, 213, 345, 225, 235, 239, 767}"
31,cosinus,1,24,20,8,0.36364,0.45672,"{1: {32, 611, 261, 678, 328, 457, 106, 409, 651, 429, 974, 783, 626, 211, 761, 566, 311, 152, 380, 220}}","{3, 651, 652, 783, 152, 283, 32, 293, 690, 569, 67, 328, 73, 75, 338, 211, 215, 474, 479, 485, 106, 235, 366, 626}"
32,cosinus,1,25,20,11,0.48889,0.45773,"{1: {344, 579, 612, 326, 583, 329, 170, 809, 47, 16, 49, 274, 367, 381, 850, 54, 120, 26, 61, 671}}","{15, 405, 917, 25, 155, 156, 671, 170, 47, 49, 54, 187, 61, 709, 71, 329, 82, 850, 852, 86, 471, 612, 631, 120, 381}"
33,cosinus,1,32,20,14,0.53846,0.46017,"{1: {744, 228, 900, 7, 8, 72, 169, 203, 617, 173, 46, 15, 112, 592, 652, 51, 53, 54, 85, 375}}","{640, 130, 7, 9, 652, 15, 33, 36, 166, 41, 169, 46, 51, 53, 54, 182, 63, 707, 72, 200, 334, 592, 85, 86, 343, 89, 228, 357, 744, 368, 758, 375}"
34,cosinus,1,37,20,12,0.42105,0.45902,"{1: {993, 382, 483, 612, 585, 695, 76, 365, 48, 368, 50, 691, 52, 87, 120, 793, 58, 539, 254, 31}}","{779, 639, 274, 148, 25, 793, 155, 539, 31, 171, 691, 52, 949, 695, 826, 59, 571, 199, 457, 458, 970, 76, 469, 87, 997, 742, 504, 365, 752, 113, 114, 885, 254, 120, 126, 382, 127}"
