graphe_run,metrique,modele_vue2,longueur_predit,true_hits,nombre_noeud_touve,f1_score,mean,Truehits,Noeud_predit
1,cosinus,8,31,20,13,0.50980,0.50980,"{1: {129, 516, 37, 680, 809, 330, 873, 589, 143, 720, 177, 497, 436, 278, 895, 120, 90, 604, 30, 543}}","{129, 516, 143, 16, 278, 153, 30, 543, 680, 809, 938, 177, 314, 828, 583, 974, 976, 471, 604, 481, 229, 105, 106, 493, 113, 497, 754, 120, 634, 254, 895}"
2,cosinus,8,31,20,11,0.43137,0.47059,"{1: {288, 36, 100, 262, 648, 43, 76, 205, 491, 92, 175, 18, 52, 117, 373, 567, 152, 628, 28, 383}}","{0, 1, 131, 132, 7, 16, 18, 152, 415, 160, 36, 53, 72, 76, 205, 718, 219, 92, 93, 100, 484, 105, 618, 109, 495, 368, 628, 117, 373, 121, 383}"
3,cosinus,8,31,20,13,0.50980,0.48366,"{1: {3, 100, 230, 327, 8, 486, 678, 777, 716, 333, 591, 145, 563, 890, 152, 89, 410, 445, 30, 95}}","{513, 2, 3, 133, 8, 10, 145, 274, 151, 410, 30, 678, 563, 185, 573, 191, 578, 591, 336, 89, 990, 351, 96, 95, 99, 230, 486, 105, 749, 504, 890}"
4,cosinus,8,34,20,13,0.48148,0.48312,"{1: {1, 97, 547, 37, 264, 106, 76, 846, 16, 849, 370, 51, 724, 85, 342, 757, 25, 61, 126, 286}}","{1, 6, 519, 264, 16, 666, 283, 291, 547, 37, 165, 806, 694, 184, 56, 58, 68, 709, 73, 76, 464, 724, 342, 987, 94, 224, 97, 356, 106, 107, 496, 370, 757, 126}"
5,cosinus,8,37,20,13,0.45614,0.47772,"{1: {257, 227, 837, 294, 9, 43, 204, 235, 331, 909, 80, 18, 21, 246, 151, 215, 317, 221, 343, 95}}","{257, 265, 266, 909, 18, 146, 21, 533, 151, 28, 29, 160, 548, 294, 43, 302, 175, 176, 430, 436, 55, 185, 61, 457, 331, 76, 80, 469, 343, 986, 221, 95, 227, 741, 367, 369, 501}"
6,cosinus,8,36,20,9,0.32143,0.45167,"{1: {288, 33, 384, 706, 960, 38, 828, 40, 41, 617, 712, 556, 717, 239, 399, 146, 20, 244, 119, 220}}","{257, 513, 387, 7, 650, 399, 20, 788, 29, 288, 33, 289, 424, 41, 43, 47, 177, 443, 63, 323, 582, 199, 712, 80, 337, 342, 91, 220, 480, 226, 617, 362, 499, 244, 886, 251}"
7,cosinus,8,20,20,6,0.30000,0.43000,"{1: {352, 97, 418, 324, 5, 229, 7, 646, 679, 12, 300, 14, 238, 494, 815, 18, 244, 569, 90, 319}}","{577, 227, 646, 231, 328, 233, 42, 683, 12, 76, 14, 109, 173, 238, 494, 505, 821, 438, 441, 90}"
8,cosinus,8,40,20,14,0.46667,0.43459,"{1: {1, 833, 67, 36, 196, 122, 422, 552, 708, 363, 428, 15, 18, 885, 377, 26, 91, 412, 573, 223}}","{2, 133, 521, 138, 15, 18, 403, 26, 412, 414, 160, 161, 544, 672, 36, 37, 422, 300, 429, 303, 944, 313, 59, 573, 833, 67, 196, 972, 720, 726, 87, 91, 223, 356, 744, 363, 237, 111, 499, 122}"
9,cosinus,8,28,20,14,0.58333,0.45111,"{1: {4, 36, 100, 132, 197, 646, 810, 43, 172, 780, 15, 336, 527, 83, 20, 22, 598, 25, 26, 316}}","{4, 132, 389, 780, 15, 913, 20, 22, 26, 294, 810, 43, 172, 45, 312, 333, 590, 336, 81, 83, 598, 88, 92, 993, 100, 374, 122, 383}"
10,cosinus,8,19,20,8,0.41026,0.44703,"{1: {33, 577, 259, 741, 294, 73, 42, 841, 445, 557, 463, 720, 976, 93, 788, 152, 153, 444, 61, 31}}","{481, 577, 259, 741, 70, 903, 73, 426, 447, 650, 174, 558, 720, 305, 307, 152, 153, 283, 31}"
11,cosinus,8,13,20,8,0.48485,0.45047,"{1: {0, 544, 294, 455, 776, 169, 10, 457, 489, 687, 240, 830, 18, 879, 84, 436, 728, 122, 829, 126}}","{0, 484, 567, 294, 776, 457, 489, 687, 240, 18, 83, 55, 510}"
12,cosinus,8,23,20,12,0.55814,0.45944,"{1: {33, 97, 35, 4, 165, 355, 7, 135, 167, 327, 489, 155, 582, 110, 957, 689, 901, 27, 285, 30}}","{2, 515, 4, 7, 135, 139, 534, 27, 285, 30, 31, 33, 35, 165, 686, 186, 327, 477, 224, 97, 110, 119, 249}"
13,cosinus,8,21,20,8,0.39024,0.45412,"{1: {257, 833, 772, 964, 423, 840, 201, 10, 42, 172, 428, 14, 813, 528, 81, 147, 179, 438, 728, 383}}","{257, 4, 772, 10, 14, 528, 402, 26, 159, 42, 53, 438, 317, 76, 77, 204, 81, 82, 480, 243, 127}"
