graphe_run,metrique,modele_vue2,longueur_predit,true_hits,nombre_noeud_touve,f1_score,Truehits,Noeud_predit
14,cosinus,1,18,10,5,0.35714,"{1: {2, 70, 139, 142, 718, 48, 307, 372, 53, 86}}","{70, 7, 103, 142, 111, 366, 81, 145, 307, 495, 53, 86, 55, 125, 374, 533, 93, 478}"
15,cosinus,1,32,10,9,0.42857,"{1: {196, 133, 141, 526, 47, 17, 563, 631, 185, 27}}","{133, 392, 141, 526, 17, 273, 27, 798, 164, 42, 174, 563, 692, 185, 63, 449, 196, 324, 77, 466, 85, 470, 597, 218, 478, 631, 621, 627, 372, 507, 379, 764}"
16,cosinus,1,18,10,5,0.35714,"{1: {321, 198, 136, 202, 658, 19, 54, 24, 987, 216}}","{65, 321, 197, 72, 10, 907, 844, 621, 782, 465, 658, 19, 54, 24, 730, 27, 284, 95}"
17,cosinus,1,25,10,5,0.28571,"{1: {384, 770, 515, 930, 90, 142, 19, 150, 26, 347}}","{642, 770, 388, 265, 11, 144, 19, 275, 663, 24, 26, 168, 297, 299, 300, 307, 565, 201, 74, 80, 211, 340, 90, 347, 219}"
1,cosinus,1,35,10,8,0.35556,"{1: {129, 37, 680, 809, 330, 873, 143, 120, 30, 895}}","{129, 132, 264, 273, 533, 535, 409, 925, 30, 31, 160, 37, 680, 297, 809, 177, 190, 838, 330, 714, 854, 216, 731, 604, 481, 870, 103, 873, 362, 108, 364, 239, 240, 115, 120}"
2,cosinus,1,23,10,5,0.30303,"{1: {33, 37, 423, 332, 301, 556, 535, 664, 409, 59}}","{4, 10, 11, 395, 142, 271, 17, 409, 927, 37, 423, 301, 62, 63, 455, 332, 82, 728, 860, 364, 116, 248, 505}"
3,cosinus,1,14,10,4,0.33333,"{1: {477, 11, 779, 273, 660, 85, 895, 603, 157, 63}}","{162, 195, 938, 11, 12, 143, 336, 273, 115, 20, 85, 307, 504, 157}"
4,cosinus,1,27,10,7,0.37838,"{1: {1, 547, 37, 264, 76, 16, 849, 724, 25, 61}}","{1, 644, 264, 783, 16, 529, 413, 547, 175, 816, 310, 828, 830, 833, 66, 68, 201, 841, 76, 78, 849, 724, 605, 224, 997, 107, 631}"
5,cosinus,1,32,10,9,0.42857,"{1: {226, 123, 527, 464, 113, 639, 443, 472, 283, 319}}","{527, 16, 275, 406, 283, 289, 38, 39, 168, 950, 186, 443, 444, 574, 319, 65, 195, 837, 456, 464, 467, 86, 87, 472, 859, 226, 101, 742, 751, 119, 123, 639}"
6,cosinus,1,20,10,5,0.33333,"{1: {384, 33, 706, 712, 41, 717, 239, 146, 20, 244}}","{706, 835, 90, 101, 7, 293, 41, 73, 712, 50, 146, 244, 468, 888, 151, 216, 57, 58, 859, 988}"
7,cosinus,1,12,10,1,0.09091,"{1: {65, 961, 99, 329, 77, 143, 529, 151, 413, 287}}","{35, 292, 643, 294, 201, 620, 767, 54, 151, 863, 285, 255}"
8,cosinus,1,28,10,7,0.36842,"{1: {352, 868, 441, 172, 46, 622, 114, 370, 89, 541}}","{778, 12, 653, 909, 148, 539, 541, 413, 803, 423, 310, 439, 441, 572, 578, 982, 89, 352, 97, 868, 747, 494, 622, 368, 114, 244, 121, 636}"
9,cosinus,1,4,10,0,0.00000,"{1: {36, 100, 197, 646, 43, 15, 83, 598, 25, 26}}","{122, 500, 556, 399}"
1,cosinus,1,34,10,8,0.36364,"{1: {129, 37, 680, 809, 330, 873, 143, 120, 30, 895}}","{129, 132, 264, 273, 533, 535, 409, 925, 30, 31, 160, 37, 680, 809, 177, 190, 838, 330, 714, 854, 216, 731, 604, 481, 870, 103, 873, 362, 108, 364, 239, 240, 115, 120}"
1,cosinus,1,32,10,8,0.38095,"{1: {129, 37, 680, 809, 330, 873, 143, 120, 30, 895}}","{129, 132, 264, 273, 533, 535, 409, 925, 30, 31, 160, 37, 680, 809, 177, 190, 838, 330, 714, 854, 216, 731, 604, 481, 103, 873, 362, 108, 239, 240, 115, 120}"
2,cosinus,1,30,10,7,0.35000,"{1: {262, 491, 76, 205, 175, 628, 117, 373, 152, 92}}","{0, 4, 10, 395, 11, 522, 142, 271, 652, 17, 152, 927, 175, 62, 63, 455, 76, 205, 82, 978, 854, 728, 92, 860, 364, 116, 117, 628, 248, 505}"
1,cosinus,1,34,10,8,0.36364,"{1: {129, 37, 680, 809, 330, 873, 143, 120, 30, 895}}","{129, 132, 264, 273, 533, 535, 409, 925, 30, 31, 160, 37, 680, 809, 177, 190, 838, 330, 714, 854, 216, 731, 604, 481, 870, 103, 873, 362, 108, 364, 239, 240, 115, 120}"
2,cosinus,1,30,10,7,0.35000,"{1: {262, 491, 76, 205, 175, 628, 117, 373, 152, 92}}","{0, 4, 10, 395, 11, 522, 142, 271, 652, 17, 152, 927, 175, 62, 63, 455, 76, 205, 82, 978, 854, 728, 92, 860, 364, 116, 117, 628, 248, 505}"
3,cosinus,1,22,10,6,0.37500,"{1: {3, 100, 230, 678, 777, 716, 591, 152, 410, 95}}","{3, 11, 12, 523, 143, 152, 162, 803, 307, 573, 195, 965, 716, 591, 336, 91, 97, 226, 100, 230, 115, 504}"
4,cosinus,1,24,10,6,0.35294,"{1: {1, 547, 37, 264, 76, 16, 849, 724, 25, 61}}","{1, 644, 264, 783, 16, 529, 291, 547, 175, 816, 310, 828, 66, 68, 201, 841, 76, 78, 849, 605, 224, 997, 107, 631}"
1,eucludian,2,64,10,8,0.21622,"{1: {129, 37, 680, 809, 330, 873, 143, 120, 30, 895}}","{129, 257, 132, 644, 647, 264, 393, 654, 655, 273, 533, 535, 26, 923, 30, 31, 160, 163, 420, 37, 680, 809, 301, 814, 177, 948, 950, 190, 574, 577, 838, 712, 457, 330, 714, 854, 216, 730, 731, 986, 351, 481, 484, 868, 870, 103, 744, 871, 362, 491, 108, 364, 365, 239, 240, 873, 115, 116, 246, 503, 120, 505, 123, 764}"
