graphe_run,metrique,modele_vue2,longueur_predit,true_hits,nombre_noeud_touve,f1_score,mean,Truehits,Noeud_predit
1,cosinus,1,26,10,8,0.44444,0.44444,"{1: {129, 37, 680, 809, 330, 873, 143, 120, 30, 895}}","{129, 132, 264, 535, 409, 925, 30, 31, 160, 37, 680, 809, 301, 177, 190, 838, 457, 330, 714, 731, 604, 870, 103, 873, 362, 120}"
2,cosinus,1,32,10,8,0.38095,0.41270,"{1: {262, 491, 76, 205, 175, 628, 117, 373, 152, 92}}","{0, 4, 262, 10, 11, 395, 142, 17, 152, 673, 676, 550, 175, 62, 63, 455, 458, 76, 205, 82, 978, 340, 728, 92, 860, 364, 116, 117, 628, 248, 505, 767}"
3,cosinus,1,10,10,4,0.40000,0.40847,"{1: {477, 11, 779, 273, 660, 85, 895, 603, 157, 63}}","{97, 11, 12, 336, 273, 307, 20, 85, 313, 157}"
4,cosinus,1,27,10,7,0.37838,0.40094,"{1: {1, 547, 37, 264, 76, 16, 849, 724, 25, 61}}","{1, 264, 783, 16, 529, 547, 175, 310, 828, 958, 66, 68, 583, 201, 76, 78, 593, 849, 83, 724, 474, 605, 224, 107, 235, 631, 634}"
5,cosinus,1,20,10,3,0.20000,0.36076,"{1: {227, 837, 294, 331, 909, 80, 18, 21, 151, 221}}","{641, 195, 227, 101, 440, 39, 168, 456, 574, 742, 855, 751, 21, 86, 87, 151, 377, 950, 444, 446}"
