graphe_run,metrique,modele_vue2,longueur_predit,true_hits,nombre_noeud_touve,f1_score,mean,Truehits,Noeud_predit
29,cosinus,1,22,10,4,0.25000,0.31511,"{1: {1, 129, 4, 41, 173, 463, 16, 115, 728, 57}}","{1, 257, 3, 133, 139, 651, 16, 18, 281, 283, 29, 44, 173, 179, 822, 64, 71, 608, 233, 115, 758, 381}"
30,cosinus,1,35,10,7,0.31111,0.31497,"{1: {865, 546, 7, 455, 297, 519, 45, 558, 213, 55}}","{519, 392, 138, 395, 786, 659, 408, 536, 541, 671, 929, 291, 547, 808, 300, 45, 558, 690, 55, 447, 71, 455, 77, 213, 343, 347, 475, 349, 606, 865, 235, 501, 251, 253, 766}"
31,cosinus,1,32,10,7,0.33333,0.31556,"{1: {35, 3, 291, 995, 876, 110, 46, 16, 443, 412}}","{13, 663, 412, 415, 544, 927, 162, 35, 291, 421, 681, 170, 300, 46, 303, 562, 182, 443, 700, 191, 77, 850, 83, 85, 609, 876, 110, 495, 751, 244, 506, 126}"
32,cosinus,1,28,10,10,0.52632,0.32215,"{1: {354, 392, 428, 114, 534, 855, 696, 863, 508, 63}}","{8, 137, 392, 529, 534, 25, 161, 35, 166, 428, 943, 433, 690, 818, 696, 63, 66, 197, 719, 466, 855, 863, 96, 481, 354, 619, 114, 508}"
33,cosinus,1,29,10,4,0.20513,0.31860,"{1: {64, 289, 100, 5, 41, 13, 782, 175, 116, 916}}","{4, 7, 140, 13, 526, 18, 19, 20, 533, 279, 289, 38, 424, 41, 809, 46, 304, 51, 315, 64, 192, 72, 73, 344, 856, 99, 873, 491, 113}"
34,cosinus,1,30,10,8,0.40000,0.32100,"{1: {993, 382, 483, 585, 365, 368, 52, 120, 254, 31}}","{514, 137, 638, 649, 272, 158, 31, 35, 165, 171, 52, 181, 952, 60, 69, 581, 585, 80, 209, 467, 993, 997, 365, 117, 373, 254, 120, 123, 382, 895}"
35,cosinus,1,3,10,1,0.15385,0.31622,"{1: {32, 610, 645, 108, 369, 18, 758, 605, 766, 31}}","{32, 537, 263}"
36,cosinus,1,14,10,1,0.08333,0.30975,"{1: {384, 515, 644, 678, 8, 137, 330, 15, 57, 700}}","{352, 513, 322, 482, 645, 518, 137, 11, 843, 82, 150, 535, 445, 255}"
37,cosinus,1,10,10,4,0.40000,0.31219,"{1: {646, 649, 176, 824, 308, 53, 664, 122, 316, 31}}","{174, 718, 272, 241, 146, 688, 664, 122, 316, 31}"
38,cosinus,1,26,10,9,0.50000,0.31714,"{1: {99, 172, 141, 47, 560, 114, 211, 25, 27, 61}}","{141, 19, 23, 25, 27, 28, 552, 172, 45, 47, 560, 816, 53, 955, 69, 78, 590, 592, 211, 86, 92, 95, 99, 367, 114, 117}"
39,cosinus,1,19,10,4,0.27586,0.31608,"{1: {448, 39, 169, 10, 109, 910, 629, 600, 26, 63}}","{67, 357, 38, 230, 360, 457, 938, 11, 44, 77, 109, 558, 17, 627, 820, 629, 600, 123, 63}"
40,cosinus,1,37,10,4,0.17021,0.31243,"{1: {1, 865, 71, 712, 780, 589, 18, 21, 405, 155}}","{257, 514, 4, 132, 389, 392, 780, 269, 15, 17, 273, 531, 21, 405, 155, 158, 159, 547, 42, 684, 45, 174, 175, 692, 455, 77, 349, 353, 871, 237, 113, 506, 372, 378, 251, 124, 253}"
41,cosinus,1,26,10,6,0.33333,0.31294,"{1: {516, 134, 360, 73, 202, 331, 13, 49, 791, 664}}","{1, 516, 134, 13, 655, 279, 664, 791, 546, 169, 177, 50, 439, 58, 703, 834, 202, 586, 83, 728, 93, 739, 100, 103, 493, 110}"
42,cosinus,1,16,10,5,0.38462,0.31465,"{1: {386, 227, 997, 7, 73, 140, 18, 308, 564, 668}}","{162, 386, 420, 7, 681, 459, 140, 13, 18, 51, 275, 85, 308, 532, 281, 508}"
43,cosinus,1,21,10,8,0.51613,0.31933,"{1: {289, 4, 773, 296, 855, 15, 468, 631, 568, 62}}","{0, 260, 10, 15, 406, 32, 289, 675, 296, 426, 568, 315, 62, 707, 333, 468, 855, 91, 115, 631, 509}"
44,cosinus,1,37,10,6,0.25532,0.31788,"{1: {321, 641, 802, 68, 744, 434, 51, 439, 91, 731}}","{641, 260, 134, 909, 399, 18, 405, 790, 795, 926, 288, 164, 302, 559, 306, 51, 52, 434, 695, 700, 64, 68, 198, 582, 721, 91, 731, 992, 997, 746, 108, 244, 757, 120, 507, 637, 126}"
45,cosinus,1,43,10,7,0.26415,0.31668,"{1: {353, 482, 36, 69, 907, 179, 344, 27, 573, 127}}","{134, 646, 907, 140, 17, 276, 404, 279, 24, 409, 921, 27, 28, 413, 425, 44, 954, 60, 573, 702, 194, 69, 70, 197, 336, 464, 212, 597, 854, 343, 344, 350, 353, 482, 871, 360, 233, 243, 245, 634, 889, 378, 510}"
46,cosinus,1,22,10,6,0.37500,0.31795,"{1: {608, 449, 2, 450, 513, 197, 295, 39, 207, 593}}","{1, 513, 645, 263, 784, 35, 676, 39, 295, 170, 47, 824, 449, 324, 197, 969, 714, 593, 474, 358, 881, 116}"
47,cosinus,1,16,10,6,0.46154,0.32101,"{1: {34, 899, 261, 236, 397, 212, 597, 854, 312, 828}}","{256, 34, 738, 228, 446, 899, 75, 236, 397, 625, 50, 854, 56, 123, 828, 158}"
48,cosinus,1,19,10,5,0.34483,0.32150,"{1: {675, 103, 297, 458, 82, 312, 890, 349, 446, 95}}","{66, 227, 101, 103, 297, 426, 75, 12, 268, 458, 489, 943, 147, 21, 309, 312, 473, 92, 446}"
49,cosinus,1,11,10,1,0.09524,0.31688,"{1: {896, 227, 356, 457, 74, 523, 689, 923, 220, 604}}","{98, 163, 356, 233, 75, 139, 461, 302, 850, 248, 159}"
50,cosinus,1,16,10,2,0.15385,0.31362,"{1: {768, 866, 41, 908, 142, 14, 48, 592, 22, 859}}","{99, 293, 138, 555, 14, 243, 308, 343, 22, 183, 403, 982, 215, 763, 573, 126}"
51,cosinus,1,26,10,7,0.38889,0.31510,"{1: {960, 517, 42, 237, 144, 17, 50, 208, 880, 442}}","{769, 900, 136, 649, 394, 17, 529, 668, 42, 940, 47, 48, 50, 183, 442, 61, 75, 847, 208, 849, 225, 106, 237, 111, 880, 887}"
52,cosinus,1,21,10,3,0.19355,0.31276,"{1: {96, 34, 137, 177, 209, 24, 25, 572, 574, 415}}","{385, 9, 521, 141, 400, 273, 24, 281, 923, 540, 300, 59, 828, 572, 215, 87, 347, 96, 871, 122, 125}"
53,cosinus,1,28,10,8,0.42105,0.31481,"{1: {96, 737, 66, 98, 613, 391, 718, 370, 371, 30}}","{6, 391, 778, 149, 278, 156, 30, 32, 291, 295, 296, 297, 427, 953, 66, 68, 77, 718, 475, 603, 737, 98, 232, 370, 371, 374, 253, 382}"
54,cosinus,1,23,10,5,0.30303,0.31459,"{1: {171, 494, 79, 272, 274, 276, 855, 120, 25, 157}}","{0, 651, 909, 272, 274, 148, 276, 918, 32, 544, 428, 701, 847, 597, 217, 120, 479, 355, 110, 494, 117, 248, 505}"
55,cosinus,1,22,10,5,0.31250,0.31455,"{1: {716, 49, 82, 276, 404, 952, 408, 507, 413, 542}}","{273, 18, 276, 149, 533, 917, 413, 926, 673, 296, 41, 49, 312, 952, 957, 450, 82, 597, 345, 104, 877, 126}"
56,cosinus,1,20,10,5,0.33333,0.31488,"{1: {352, 416, 704, 108, 364, 113, 145, 147, 180, 700}}","{771, 132, 68, 197, 422, 10, 363, 364, 428, 431, 145, 147, 84, 180, 629, 695, 152, 762, 700, 255}"
57,cosinus,1,25,10,7,0.40000,0.31638,"{1: {69, 966, 360, 586, 653, 21, 54, 472, 732, 127}}","{9, 140, 270, 21, 277, 26, 29, 31, 40, 45, 54, 55, 566, 323, 966, 586, 75, 340, 472, 742, 360, 110, 371, 249, 127}"
58,cosinus,1,25,10,8,0.45714,0.31881,"{1: {68, 746, 75, 364, 587, 145, 50, 19, 951, 123}}","{0, 19, 796, 34, 50, 562, 55, 951, 317, 61, 63, 68, 75, 587, 333, 341, 231, 746, 107, 364, 371, 756, 117, 124, 126}"
59,cosinus,1,10,10,5,0.50000,0.32188,"{1: {611, 38, 424, 299, 43, 44, 302, 239, 595, 665}}","{38, 424, 44, 14, 239, 592, 595, 54, 791, 125}"
60,cosinus,1,19,10,6,0.41379,0.32341,"{1: {705, 488, 73, 75, 109, 781, 559, 758, 346, 415}}","{96, 513, 66, 488, 73, 808, 346, 14, 143, 559, 781, 500, 213, 596, 57, 90, 763, 92, 415}"
61,cosinus,1,17,10,3,0.22222,0.32175,"{1: {832, 993, 394, 43, 621, 144, 17, 593, 689, 54}}","{321, 610, 993, 36, 5, 614, 870, 264, 584, 106, 17, 81, 595, 661, 54, 892, 63}"
62,cosinus,1,24,10,8,0.47059,0.32415,"{1: {449, 226, 79, 435, 341, 22, 57, 700, 189, 253}}","{268, 147, 22, 25, 545, 162, 36, 427, 173, 57, 700, 189, 192, 449, 834, 79, 208, 341, 476, 606, 222, 352, 993, 253}"
63,cosinus,1,21,10,7,0.45161,0.32617,"{1: {162, 99, 34, 453, 828, 976, 19, 467, 220, 30}}","{389, 773, 391, 266, 29, 30, 34, 828, 453, 972, 77, 205, 976, 220, 351, 99, 363, 108, 748, 882, 630}"
64,cosinus,1,24,10,5,0.29412,0.32567,"{1: {32, 1, 35, 710, 872, 238, 662, 151, 380, 540}}","{268, 524, 144, 20, 662, 35, 424, 46, 59, 704, 963, 710, 714, 972, 469, 983, 344, 352, 226, 104, 872, 626, 380, 382}"
65,cosinus,1,30,10,9,0.45000,0.32759,"{1: {98, 354, 546, 325, 710, 689, 116, 246, 278, 637}}","{9, 907, 12, 271, 146, 148, 278, 27, 34, 546, 934, 310, 183, 448, 325, 710, 715, 339, 726, 95, 98, 354, 104, 362, 107, 236, 116, 246, 120, 637}"
66,cosinus,1,22,10,7,0.43750,0.32925,"{1: {454, 167, 392, 332, 148, 534, 760, 25, 124, 317}}","{5, 261, 517, 148, 534, 280, 25, 31, 931, 940, 173, 47, 434, 820, 181, 317, 702, 332, 334, 372, 760, 124}"
67,cosinus,1,4,10,3,0.42857,0.33073,"{1: {646, 329, 426, 267, 140, 76, 588, 211, 155, 125}}","{496, 211, 140, 588}"
68,cosinus,1,40,10,6,0.24000,0.32940,"{1: {32, 457, 651, 16, 116, 84, 308, 884, 60, 767}}","{0, 256, 2, 390, 9, 394, 16, 656, 23, 536, 154, 155, 27, 669, 30, 37, 550, 296, 308, 54, 183, 60, 701, 580, 840, 204, 588, 78, 84, 476, 492, 109, 370, 243, 116, 379, 884, 759, 123, 126}"
69,cosinus,1,12,10,1,0.09091,0.32594,"{1: {192, 104, 392, 620, 46, 113, 689, 181, 540, 703}}","{192, 416, 608, 642, 931, 101, 38, 6, 683, 269, 846, 946}"
70,cosinus,1,26,10,5,0.27778,0.32525,"{1: {1, 386, 138, 75, 175, 85, 438, 60, 222, 95}}","{1, 386, 138, 910, 272, 401, 24, 25, 538, 26, 925, 672, 161, 36, 821, 438, 446, 197, 202, 843, 719, 976, 222, 99, 232, 752}"
71,cosinus,1,30,10,10,0.50000,0.32772,"{1: {1, 418, 549, 491, 523, 691, 214, 22, 510, 223}}","{1, 9, 523, 782, 271, 399, 911, 403, 148, 533, 22, 278, 418, 549, 691, 445, 77, 79, 591, 214, 90, 603, 221, 223, 608, 873, 235, 491, 631, 510}"
72,cosinus,1,15,10,3,0.24000,0.32650,"{1: {260, 324, 424, 74, 12, 155, 845, 723, 181, 91}}","{1, 99, 356, 548, 9, 74, 138, 265, 557, 181, 245, 373, 24, 442, 91}"
73,cosinus,1,12,10,7,0.63636,0.33074,"{1: {0, 706, 38, 487, 648, 9, 874, 207, 17, 693}}","{0, 325, 487, 648, 9, 840, 107, 12, 872, 874, 207, 693}"
74,cosinus,1,19,10,7,0.48276,0.33280,"{1: {7, 424, 170, 747, 17, 721, 754, 977, 283, 380}}","{2, 66, 226, 837, 198, 7, 424, 456, 170, 747, 867, 653, 494, 17, 721, 754, 216, 827, 574}"
75,cosinus,1,17,10,7,0.51852,0.33527,"{1: {290, 99, 164, 36, 135, 423, 144, 371, 569, 348}}","{290, 164, 135, 423, 908, 109, 525, 15, 144, 371, 23, 760, 569, 187, 444, 926, 375}"
76,cosinus,1,23,10,5,0.30303,0.33485,"{1: {134, 168, 749, 117, 437, 502, 822, 58, 155, 415}}","{128, 134, 263, 11, 407, 155, 415, 168, 44, 49, 580, 200, 74, 716, 343, 351, 991, 227, 106, 236, 371, 117, 253}"
77,cosinus,1,17,10,8,0.59259,0.33820,"{1: {449, 293, 872, 44, 623, 529, 310, 23, 571, 380}}","{96, 872, 809, 44, 302, 623, 529, 146, 468, 500, 310, 23, 24, 314, 571, 380, 222}"
78,cosinus,1,22,10,3,0.18750,0.33626,"{1: {257, 580, 165, 905, 12, 887, 277, 150, 22, 121}}","{3, 905, 404, 277, 32, 288, 293, 423, 304, 50, 822, 184, 62, 959, 458, 75, 87, 733, 874, 237, 887, 255}"
79,cosinus,1,20,10,5,0.33333,0.33623,"{1: {480, 260, 69, 38, 166, 965, 11, 331, 619, 22}}","{32, 260, 261, 166, 357, 40, 645, 965, 331, 81, 82, 530, 85, 22, 157, 696, 698, 731, 125, 286}"
80,cosinus,1,17,10,5,0.37037,0.33665,"{1: {4, 39, 328, 623, 274, 501, 23, 312, 474, 188}}","{668, 312, 546, 39, 328, 9, 620, 16, 753, 884, 85, 278, 23, 24, 569, 474, 220}"
81,cosinus,1,6,10,0,0.00000,0.33250,"{1: {544, 483, 40, 72, 300, 111, 400, 372, 376, 858}}","{37, 77, 80, 176, 18, 370}"
