graphe_run,metrique,modele_vue2,longueur_predit,true_hits,nombre_noeud_touve,f1_score,mean,Truehits,Noeud_predit
1,cosinus,1,34,10,8,0.36364,0.36364,"{1: {129, 37, 680, 809, 330, 873, 143, 120, 30, 895}}","{129, 132, 264, 273, 533, 535, 409, 925, 30, 31, 160, 37, 680, 809, 177, 190, 838, 330, 714, 854, 216, 731, 604, 481, 870, 103, 873, 362, 108, 364, 239, 240, 115, 120}"
2,cosinus,1,30,10,7,0.35000,0.35682,"{1: {262, 491, 76, 205, 175, 628, 117, 373, 152, 92}}","{0, 4, 10, 395, 11, 522, 142, 271, 652, 17, 152, 927, 175, 62, 63, 455, 76, 205, 82, 978, 854, 728, 92, 860, 364, 116, 117, 628, 248, 505}"
3,cosinus,1,20,10,4,0.26667,0.32677,"{1: {477, 11, 779, 273, 660, 85, 895, 603, 157, 63}}","{97, 162, 195, 573, 965, 777, 938, 11, 12, 109, 143, 336, 273, 115, 20, 85, 307, 504, 91, 157}"
4,cosinus,1,30,10,7,0.35000,0.33258,"{1: {1, 547, 37, 264, 76, 16, 849, 724, 25, 61}}","{1, 644, 264, 783, 16, 529, 29, 413, 547, 175, 816, 310, 56, 59, 828, 830, 66, 68, 201, 841, 76, 78, 849, 83, 724, 605, 224, 997, 107, 631}"
5,cosinus,1,31,10,9,0.43902,0.35387,"{1: {226, 123, 527, 464, 113, 639, 443, 472, 283, 319}}","{527, 275, 406, 283, 38, 39, 168, 950, 57, 186, 443, 444, 574, 319, 65, 195, 837, 456, 464, 467, 86, 87, 472, 859, 226, 101, 742, 751, 119, 123, 639}"
6,cosinus,1,22,10,6,0.37500,0.35739,"{1: {407, 43, 140, 364, 716, 944, 147, 55, 25, 894}}","{7, 151, 25, 923, 36, 43, 944, 50, 55, 57, 58, 835, 73, 716, 338, 468, 216, 90, 988, 101, 888, 894}"
7,cosinus,1,18,10,2,0.14286,0.32674,"{1: {65, 961, 99, 329, 77, 143, 529, 151, 413, 287}}","{418, 35, 292, 675, 294, 806, 201, 329, 587, 397, 178, 52, 119, 86, 54, 151, 438, 863}"
8,cosinus,1,29,10,7,0.35897,0.33077,"{1: {352, 868, 441, 172, 46, 622, 114, 370, 89, 541}}","{778, 12, 653, 909, 148, 539, 541, 413, 803, 423, 554, 310, 439, 441, 572, 578, 982, 89, 352, 97, 868, 747, 494, 622, 368, 114, 244, 121, 636}"
9,cosinus,1,8,10,3,0.33333,0.33105,"{1: {36, 100, 197, 646, 43, 15, 83, 598, 25, 26}}","{640, 100, 102, 70, 7, 15, 145, 598}"
10,cosinus,1,22,10,5,0.31250,0.32920,"{1: {579, 202, 589, 911, 944, 115, 501, 566, 825, 542}}","{1, 911, 913, 919, 281, 31, 40, 433, 437, 184, 317, 67, 202, 589, 845, 91, 481, 865, 489, 491, 115, 501}"
11,cosinus,1,20,10,5,0.33333,0.32958,"{1: {37, 679, 72, 112, 244, 53, 21, 952, 285, 30}}","{34, 355, 37, 679, 264, 395, 779, 209, 18, 19, 244, 53, 337, 338, 529, 505, 790, 947, 93, 30}"
12,cosinus,1,23,10,2,0.12121,0.31221,"{1: {33, 97, 35, 355, 901, 582, 167, 957, 155, 285}}","{896, 259, 6, 903, 779, 12, 789, 417, 35, 167, 807, 41, 689, 187, 450, 196, 851, 234, 236, 111, 241, 370, 244}"
13,cosinus,1,12,10,6,0.54545,0.33015,"{1: {772, 840, 201, 10, 172, 428, 14, 528, 147, 438}}","{36, 772, 871, 137, 10, 201, 172, 81, 51, 147, 438, 63}"
14,cosinus,1,19,10,4,0.27586,0.32628,"{1: {291, 140, 783, 16, 81, 114, 209, 242, 920, 828}}","{257, 993, 103, 7, 429, 495, 16, 145, 208, 209, 242, 125, 533, 55, 151, 946, 828, 93, 478}"
15,cosinus,1,29,10,7,0.35897,0.32846,"{1: {289, 3, 804, 967, 10, 237, 432, 17, 434, 347}}","{3, 392, 10, 17, 273, 798, 164, 804, 42, 174, 432, 434, 185, 63, 449, 324, 77, 466, 85, 470, 597, 218, 347, 478, 621, 627, 372, 379, 764}"
16,cosinus,1,19,10,6,0.41379,0.33379,"{1: {128, 324, 933, 141, 401, 23, 217, 508, 989, 319}}","{65, 324, 319, 72, 907, 844, 461, 508, 621, 782, 465, 989, 23, 217, 730, 27, 284, 733, 95}"
17,cosinus,1,28,10,6,0.31579,0.33273,"{1: {384, 770, 515, 930, 90, 142, 19, 150, 26, 347}}","{642, 515, 388, 770, 647, 265, 11, 144, 19, 275, 662, 663, 24, 26, 168, 297, 299, 300, 307, 565, 201, 74, 80, 211, 340, 90, 347, 219}"
18,cosinus,1,24,10,7,0.41176,0.33712,"{1: {810, 491, 77, 845, 208, 50, 86, 439, 411, 510}}","{265, 787, 151, 794, 668, 29, 159, 425, 810, 311, 450, 68, 456, 584, 77, 845, 208, 86, 344, 359, 491, 114, 499, 510}"
19,cosinus,1,5,10,0,0.00000,0.31938,"{1: {193, 389, 42, 298, 14, 494, 565, 22, 343, 345}}","{165, 712, 201, 368, 17}"
20,cosinus,1,18,10,6,0.42857,0.32484,"{1: {64, 160, 227, 74, 266, 363, 593, 817, 23, 312}}","{65, 34, 225, 227, 934, 266, 363, 45, 109, 207, 463, 401, 593, 275, 817, 948, 23, 57}"
21,cosinus,1,40,10,5,0.20000,0.31889,"{1: {897, 547, 12, 719, 817, 310, 23, 312, 91, 703}}","{129, 897, 390, 391, 137, 12, 17, 657, 281, 25, 410, 539, 158, 30, 415, 671, 163, 547, 811, 433, 953, 703, 839, 75, 76, 79, 80, 719, 338, 851, 986, 220, 221, 862, 96, 356, 499, 756, 764, 637}"
22,cosinus,1,24,10,3,0.17647,0.31242,"{1: {70, 136, 107, 11, 909, 336, 17, 275, 597, 757}}","{1, 641, 390, 8, 136, 393, 11, 531, 277, 279, 152, 537, 283, 28, 157, 669, 51, 196, 70, 329, 203, 109, 122, 125}"
23,cosinus,1,26,10,3,0.16667,0.30608,"{1: {480, 736, 519, 237, 205, 526, 277, 918, 247, 24}}","{768, 257, 8, 136, 138, 140, 397, 403, 797, 31, 33, 546, 300, 684, 312, 441, 66, 458, 205, 214, 472, 91, 99, 237, 247, 377}"
24,cosinus,1,24,10,6,0.35294,0.30803,"{1: {608, 803, 8, 712, 337, 20, 406, 600, 27, 478}}","{386, 3, 259, 20, 406, 27, 923, 35, 554, 173, 59, 579, 836, 712, 585, 845, 728, 862, 478, 608, 867, 884, 118, 508}"
25,cosinus,1,20,10,6,0.40000,0.31171,"{1: {36, 264, 169, 746, 300, 14, 591, 336, 120, 381}}","{318, 578, 36, 69, 486, 840, 169, 297, 300, 14, 655, 755, 84, 980, 822, 120, 220, 381, 254, 703}"
26,cosinus,1,32,10,10,0.47619,0.31804,"{1: {229, 421, 41, 11, 812, 109, 244, 694, 24, 510}}","{776, 11, 523, 272, 400, 24, 922, 155, 27, 421, 40, 41, 812, 305, 694, 322, 963, 79, 207, 463, 85, 220, 355, 228, 229, 869, 360, 618, 109, 244, 125, 510}"
27,cosinus,1,39,10,7,0.28571,0.31684,"{1: {640, 358, 551, 614, 589, 337, 210, 727, 632, 122}}","{640, 261, 8, 265, 142, 17, 404, 532, 22, 23, 412, 927, 551, 41, 169, 301, 174, 53, 68, 69, 712, 588, 589, 78, 79, 337, 212, 87, 88, 727, 91, 350, 352, 614, 359, 112, 498, 632, 249}"
28,cosinus,1,2,10,2,0.33333,0.31743,"{1: {34, 486, 301, 80, 337, 976, 180, 886, 313, 187}}","{976, 313}"
