graphe_run,metrique,modele_vue2,longueur_predit,true_hits,nombre_noeud_touve,f1_score,mean,Truehits,Noeud_predit
1,cosinus,2,4,10,0,0.00000,0.00000,"{1: {129, 37, 680, 809, 330, 873, 143, 120, 30, 895}}","{984, 593, 842, 31}"
2,cosinus,2,5,10,1,0.13333,0.06667,"{1: {193, 108, 397, 46, 79, 145, 146, 115, 241, 410}}","{131, 4, 11, 241, 728}"
3,cosinus,2,5,10,0,0.00000,0.04444,"{1: {3, 100, 230, 678, 777, 716, 591, 152, 410, 95}}","{201, 361, 12, 307, 284}"
