graphe_run,metrique,modele_vue2,longueur_predit,true_hits,nombre_noeud_touve,f1_score,mean,Truehits,Noeud_predit
1,cosinus,2,82,10,8,0.17391,0.17391,"{1: {129, 37, 680, 809, 330, 873, 143, 120, 30, 895}}","{129, 257, 897, 132, 644, 647, 264, 393, 907, 654, 655, 273, 533, 535, 408, 409, 26, 923, 925, 30, 31, 160, 871, 163, 420, 37, 423, 680, 809, 873, 301, 685, 814, 177, 948, 437, 950, 190, 574, 577, 324, 838, 712, 457, 330, 714, 974, 593, 854, 216, 984, 730, 731, 604, 986, 351, 481, 484, 868, 870, 103, 360, 744, 362, 491, 108, 364, 365, 239, 240, 493, 749, 115, 116, 754, 246, 503, 120, 505, 123, 764, 893}"
2,cosinus,2,64,10,7,0.18919,0.18155,"{1: {262, 491, 76, 205, 175, 628, 117, 373, 152, 92}}","{0, 131, 4, 902, 905, 10, 11, 395, 141, 142, 271, 272, 17, 522, 652, 152, 664, 26, 923, 927, 673, 676, 806, 680, 425, 170, 554, 172, 47, 175, 560, 312, 954, 827, 62, 63, 194, 455, 458, 76, 205, 593, 82, 721, 340, 978, 854, 728, 92, 733, 860, 228, 103, 364, 494, 115, 116, 117, 628, 248, 505, 378, 253, 767}"
3,cosinus,2,56,10,8,0.24242,0.20184,"{1: {477, 11, 779, 273, 660, 85, 895, 603, 157, 63}}","{514, 774, 647, 777, 11, 12, 139, 523, 143, 779, 273, 658, 20, 660, 284, 157, 161, 162, 803, 938, 945, 818, 307, 313, 573, 63, 448, 195, 965, 583, 712, 201, 588, 973, 336, 85, 985, 346, 91, 97, 226, 99, 999, 744, 361, 106, 747, 872, 109, 115, 888, 759, 504, 889, 766, 895}"
